000006,25359.1633,2.0,1998,1999-07-20
000006,23053.7849,2.0,1997,1998-07-29
000006,17630.6096,0.769,1996,1997-07-08
000006,13562.0074,2.0,1995,1996-07-26
000006,10432.3134,1.0,1994,1995-07-10
000006,5669.7356,2.0,1993,1994-06-24
000006,3543.5848,0.0,1992,1993-06-04
000007,34644.8044,0.0,2018,2019-04-30
000007,34644.8044,0.0,2017,2018-04-24
000007,23096.5363,0.0,2016,2017-05-19
000007,23096.5363,0.0,2015,2016-04-23
000007,23096.5363,0.0,2014,2015-04-30
000007,23096.5363,0.0,2013,2014-04-26
000007,23096.5363,0.0,2012,2013-04-25
000007,23096.5363,0.0,2011,2012-02-23
000007,18496.5363,0.0,2010,2011-04-23
000007,18496.5363,0.0,2009,2010-04-21
000007,18496.5363,0.0,2008,2009-04-24
000007,18496.5363,0.0,2007,2008-04-22
000007,18496.5363,0.0,2006,2007-04-20
000007,14359.3664,0.0,2006,2006-08-11
000007,14359.3664,0.0,2005,2006-04-28
000007,14359.3664,0.0,2004,2005-05-28
000007,7363.7778,0.0,1996,1997-07-02
000007,7363.7778,0.3,1995,1996-08-30
000007,7363.7778,2.0,1994,1995-08-01
000007,4331.6299,1.0,1993,1994-06-29
000007,2548.02,0.0,1992,1993-05-28
000007,2123.35,0.5,1991,1992-11-07
000008,278079.5346,0.1,2018,2019-06-27
000008,281832.9809,0.5,2017,2018-06-06
000008,280907.8279,0.1,2016,2017-06-01
000008,275770.9279,0.0,2015,2016-04-27
000008,80314.4309,0.0,2015,2015-09-23
000008,55389.2627,0.0,2014,2015-03-12
000008,30360.164,0.0,2013,2014-03-29
000008,15180.082,0.0,2012,2013-05-27
000008,7365.3208,0.0,2011,2012-03-03
000008,7365.3208,0.0,2010,2011-02-25
000008,7365.3208,0.0,2009,2010-03-27
000008,7365.3208,0.0,2008,2009-03-07
000008,7365.3208,0.0,2007,2008-03-21
000008,7365.3208,0.0,2006,2007-03-29
000008,7365.3208,0.0,2005,2006-02-25
000008,7365.3208,0.0,2004,2005-03-12
000008,5665.6314,0.0,1995,1996-09-04
000008,5150.574,0.0,1994,1995-08-29
000008,3445.2,0.5,1993,1994-06-15
000008,2376.0,0.5,1992,1993-05-28
000009,214934.4971,0.2,2018,2019-07-19
000009,214934.4971,0.2,2017,2018-07-26
000009,214934.4971,0.2,2016,2017-08-15
000009,159210.7386,0.7,2015,2016-07-20
000009,159210.7386,0.2,2014,2015-08-05
000009,125436.3108,0.3,2013,2014-07-08
000009,109075.0529,0.3,2012,2013-07-25
000009,109075.0529,0.0,2011,2012-04-26
000009,109075.0529,0.2,2010,2011-08-02
000009,109075.0529,0.35,2009,2010-08-26
000009,103881.0028,0.3,2008,2009-08-05
000009,95881.0042,0.0,2008,2008-05-15
000009,95881.0042,0.0,2007,2008-03-08
000009,95881.0042,0.0,2006,2007-04-18
000009,95881.0042,0.0,2005,2006-04-29
000009,95881.0042,0.0,2004,2005-07-01
000009,95881.0042,0.2,1996,1997-08-06
000009,91315.24,0.3,1995,1996-08-06
000009,64301.5806,1.0,1994,1995-07-20
000009,37824.4291,1.22,1993,1994-06-15
000009,26403.8616,0.9,1992,1993-04-09
000010,81985.4713,0.0,2018,2019-04-25
000010,81985.4713,0.0,2017,2018-04-27
000010,81985.4713,0.0,2016,2017-04-22
000010,81985.4713,0.0,2015,2016-04-27
000010,58806.9788,0.0,2014,2015-03-28
000010,58806.9788,0.0,2013,2014-04-25
000010,14701.7448,0.0,2013,2013-07-17
000010,14701.7448,0.0,2012,2013-03-29
000010,14701.7448,0.0,2011,2012-04-27
000010,14701.7448,0.0,2010,2011-04-29
000010,14701.7448,0.0,2009,2010-04-22
000010,14701.7448,0.0,2008,2009-04-16
000010,14701.7448,0.0,2007,2008-04-29
000010,14701.7448,0.0,2006,2007-02-13
000010,14701.7448,0.0,2005,2006-04-29
000010,14701.7448,0.0,2004,2005-05-13
000010,7350.8724,0.0,1998,1999-05-28
000010,5865.06,1.5,1996,1997-07-24
000010,5236.66,0.8,1995,1996-07-19
000011,59597.9092,3.0,2018,2019-05-15
000011,59597.9092,3.0,2017,2018-06-28
000011,59597.9092,1.8,2016,2017-05-25
000011,59597.9092,0.8,2015,2016-05-23
000011,59597.9092,2.2,2014,2015-06-08
000011,59597.9092,2.5,2013,2014-06-19
000011,59597.9092,0.0,2012,2013-03-30
000011,59597.9092,0.0,2011,2012-03-30
000011,59597.9092,0.0,2010,2011-04-26
000011,59597.9092,0.0,2009,2010-02-09
000011,54179.9175,0.112,2009,2009-11-20
000011,54179.9175,0.0,2008,2009-04-27
000011,54179.9175,0.0,2007,2008-04-15
000011,54179.9175,0.0,2006,2007-04-28
000011,54179.9175,0.0,2005,2006-03-11
000011,54179.9175,0.0,2004,2005-06-29
000011,49254.4705,1.0,1995,1996-08-19
000011,44776.79,1.5,1994,1995-08-23
000011,34443.6857,1.0,1993,1994-05-05
000011,25751.19,0.8,1992,1993-07-16
000012,282563.2877,0.5,2018,2019-06-25
000012,248414.7547,0.5,2017,2018-06-26
000012,207533.556,1.0,2016,2017-07-18
000012,207533.556,3.0,2015,2016-05-18
000012,207533.556,5.0,2014,2015-05-07
000012,207533.556,3.0,2013,2014-05-07
000012,207533.556,1.5,2012,2013-05-29
000012,207533.556,1.8,2011,2012-05-24
000012,207614.306,3.5,2010,2011-06-02
000012,122269.5624,3.5,2009,2010-05-13
000012,122373.8124,1.0,2008,2009-07-02
000012,118796.3124,1.5,2007,2008-06-06
000012,101546.3124,4.5,2006,2007-06-18
000012,101546.3124,1.8,2005,2006-06-15
000012,67697.5416,2.5,2004,2005-05-26
000012,67697.5416,1.8,2003,2004-06-23
000012,67697.5416,1.5,2002,2003-06-17
000012,67697.5416,1.3,2001,2002-06-28
000012,67697.5416,1.2,2000,2001-06-25
000012,55044.2989,0.395,1996,1997-10-31
000012,34847.0562,0.5,1995,1996-07-23
000012,25162.6166,1.0,1994,1995-07-20
000012,19355.859,1.0,1993,1994-05-10
000012,10753.26,0.7,1992,1993-05-21
000014,20170.5187,0.66,2018,2019-06-18
000014,20170.5187,0.1,2017,2018-06-21
000014,20170.5187,0.15,2016,2017-06-16
000014,20170.5187,0.37,2015,2016-06-17
000014,20170.5187,0.19,2014,2015-06-16
000014,20170.5187,0.15,2013,2014-06-09
000014,20170.5187,0.25,2012,2013-06-13
000014,20170.5187,0.2,2011,2012-06-15
000014,20170.5187,0.35,2010,2011-07-15
000014,20170.5187,0.3,2009,2010-08-12
000014,20170.5187,0.3,2008,2009-07-16
000014,13447.0125,0.25,2007,2008-07-16
000014,13447.0125,0.06,2006,2007-07-10
000014,8964.675,0.35,2005,2006-07-20
000014,8964.675,0.3,2004,2005-06-07
000014,8964.675,0.32,2003,2004-05-20
000014,8964.675,0.3,2002,2003-04-28
000014,8964.675,0.85,1995,1996-07-31
000014,7171.74,1.0,1994,1995-08-08
000014,4781.16,1.0,1993,1994-05-30
000014,2656.2,0.8,1992,1993-05-14
000016,240794.5408,1.0,2018,2019-07-04
000016,240794.5408,1.62,2017,2018-06-05
000016,240794.5408,0.0,2016,2017-03-31
000016,240794.5408,0.0,2015,2016-04-08
000016,120397.2704,0.0,2015,2015-09-24
000016,120397.2704,0.1,2014,2015-07-17
000016,120397.2704,0.1,2013,2014-05-28
000016,120397.2704,0.1,2012,2013-06-13
000016,120397.2704,0.1,2011,2012-07-06
000016,120397.2704,0.1,2010,2011-07-08
000016,120397.2704,0.1,2009,2010-07-14
