公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300605,<a href='http://www.szse.cn/certificate/individual/index.html?code=300605' target='_blank'><u>恒锋信息</u></a>,恒锋信息科技股份有限公司,"HengFeng Information Technology Co.,Ltd.",福建省福州市鼓楼区乌山西路318号洪山科技园创业中心大厦二层219室,300605,恒锋信息,2017-02-08,"109,989,994","48,414,079",,,,0,0,华东,福建,福州市,I 信息技术,www.i-hengfeng.com
300606,<a href='http://www.szse.cn/certificate/individual/index.html?code=300606' target='_blank'><u>金太阳</u></a>,东莞金太阳研磨股份有限公司,"DONGGUAN GOLDEN SUN ABRASIVES CO.,LTD",广东省东莞市大岭山镇大环路东66号,300606,金太阳,2017-02-08,"89,200,000","32,881,211",,,,0,0,华南,广东,东莞市,C 制造业,www.chinagoldensun.cn
300607,<a href='http://www.szse.cn/certificate/individual/index.html?code=300607' target='_blank'><u>拓斯达</u></a>,广东拓斯达科技股份有限公司,"Guangdong Topstar Technology Co.,Ltd",广东省东莞市大岭山镇大塘朗村长塘路3号,300607,拓斯达,2017-02-09,"130,442,088","57,359,568",,,,0,0,华南,广东,东莞市,C 制造业,www.topstarltd.com
300608,<a href='http://www.szse.cn/certificate/individual/index.html?code=300608' target='_blank'><u>思特奇</u></a>,北京思特奇信息技术股份有限公司,"Si-Tech Information Technology Co., Ltd.",北京市海淀区中关村南大街6号14层,300608,思特奇,2017-02-13,"106,117,800","69,125,183",,,,0,0,华北,北京,北京市,I 信息技术,www.si-tech.com.cn
300609,<a href='http://www.szse.cn/certificate/individual/index.html?code=300609' target='_blank'><u>汇纳科技</u></a>,上海汇纳信息科技股份有限公司,"WINNER INFORMATION TECHNOLOGY CO.,INC.",上海市金山区亭林镇亭枫公路333号216室,300609,汇纳科技,2017-02-15,"100,902,000","52,883,127",,,,0,0,华东,上海,上海市,I 信息技术,www.winnerinf.com
300610,<a href='http://www.szse.cn/certificate/individual/index.html?code=300610' target='_blank'><u>晨化股份</u></a>,扬州晨化新材料股份有限公司,"YANGZHOU CHENHUA NEW MATERIAL CO., LTD.",江苏省宝应县曹甸镇镇中路231号,300610,晨化股份,2017-02-13,"150,682,000","49,741,565",,,,0,0,华东,江苏,扬州市,C 制造业,www. yzch.cc
300611,<a href='http://www.szse.cn/certificate/individual/index.html?code=300611' target='_blank'><u>美力科技</u></a>,浙江美力科技股份有限公司,"ZHEJIANG MEILI HIGH TECHNOLOGY CO.,LTD.",浙江省新昌县新昌大道西路1365号,300611,美力科技,2017-02-20,"178,950,550","67,772,225",,,,0,0,华东,浙江,绍兴市,C 制造业,www.china-springs.com
300612,<a href='http://www.szse.cn/certificate/individual/index.html?code=300612' target='_blank'><u>宣亚国际</u></a>,宣亚国际品牌管理（北京）股份有限公司,"Shunya International Brand Consulting (Beijng) Co., Ltd",北京市朝阳区八里庄东里1号CN02-B,300612,宣亚国际,2017-02-15,"162,000,000","45,337,445",,,,0,0,华北,北京,北京市,L 商务服务,www.shunyagroup.com
300613,<a href='http://www.szse.cn/certificate/individual/index.html?code=300613' target='_blank'><u>富瀚微</u></a>,上海富瀚微电子股份有限公司,"Shanghai Fullhan Microelectronics Co., Ltd.",上海市徐汇区宜山路717号6楼,300613,富瀚微,2017-02-20,"45,315,900","12,944,500",,,,0,0,华东,上海,上海市,I 信息技术,www.fullhan.com
300615,<a href='http://www.szse.cn/certificate/individual/index.html?code=300615' target='_blank'><u>欣天科技</u></a>,深圳市欣天科技股份有限公司,XDC INDUSTRIES (SHENZHEN) LIMITED,广东省深圳市南山区茶光路波顿科技园B栋万科云创17层05号,300615,欣天科技,2017-02-15,"147,260,000","38,700,000",,,,0,0,华南,广东,深圳市,C 制造业,www.xdc-industries.com
